level	word	german	english	freq_rank
A1	ab	Ab morgen muss ich arbeiten.	I have to work from tomorrow.	182
A1	aber	Ich bin oft im Büro, aber nur für wenige Stunden.	I am often in the office, but only for a few hours.	25
A1	abfahren	Wir fahren um zwölf Uhr ab.	We leave at twelve o'clock.	13636
A1	die Abfahrt	Vor der Abfahrt rufe ich an.	Before departure, I'll call.	9905
A1	abgeben	Ich muss meine Schlüssel abgeben.	I have to hand in my keys.	3726
A1	abholen(1)	Wann kann ich den Schrank bei dir abholen?	When can I pick up the cabinet from you?	1987
A1	abholen(2)	Wir müssen noch meinen Bruder abholen.	We still need to pick up my brother.	1987
A1	der Absender	Da ist ein Brief für dich ohne Absender.	There is a letter for you without a sender.	16349
A1	Achtung	Achtung! Das dürfen Sie nicht tun.	Attention! You must not do that.	1372
A1	die Adresse,-en	Können Sie mir seine Adresse sagen?	Could you tell me his address?	1450
A1	all-(1)	Alles Gute!	All the best!	10000000
A1	all-(2)	Das ist alles.	That's all.	10000000
A1	all-(3)	Sind alle da?	Is everyone here?	10000000
A1	all-(4)	Alle Freunde kommen.	All friends are coming.	10000000
A1	all-(5)	Hast du alles?	Do you have everything?	10000000
A1	allein	Er kommt allein.	He comes alone.	316
A1	also(1)	Also, es ist so: …	Well, it is like this: …	87
A1	also(2)	Er hat Zeit, also muss er uns helfen.	He has time, so he has to help us.	87
A1	alt(1)	Wie alt sind Sie?	How old are you?	599
A1	alt(2)	Sie sehen aber nicht so alt aus.	But you don't look that old.	599
A1	alt(3)	Mein Auto ist schon sehr alt.	My car is already very old.	599
A1	alt(4)	Wir wohnen in einem sehr alten Haus.	We live in a very old house.	599
A1	alt(5)	Köln ist eine alte Stadt.	Cologne is an old city.	599
A1	das Alter	Alter: 26 Jahre.	Age: 26 years.	508
A1	an(1)	Fahren Sie an der nächsten Straße nach rechts.	Turn right at the next street.	40
A1	an(2)	Wir treffen uns am Bahnhof.	We meet at the train station.	40
A1	an(3)	Am nächsten Montag geht es leider nicht.	Sorry, it won't work next Monday.	40
A1	anbieten	Was darf ich dir anbieten?	What can I offer you?	2937
A1	das Angebot, -e	Heute sind Sportschuhe im Angebot.	Today, sports shoes are on sale.	1511
A1	ander-	Willst du diese Jacke?	Do you want this jacket?	10000000
A1	ander-	– Nein, ich möchte die andere.	– No, I want the other one.	10000000
A1	anfangen(1)	Hier fängt die Bahnhofstraße an.	Here, Bahnhofstraße starts.	933
A1	anfangen(2)	Der Unterricht fängt gleich an.	The class is about to start.	933
A1	der Anfang	Sie wohnt am Anfang der Straße.	She lives at the beginning of the street.	1002
A1	der Anfang	Wir machen Anfang Juli Urlaub.	We're going on vacation in early July.	1002
A1	anklicken	Da musst du dieses Wort anklicken.	You need to click on this word.	10000000
A1	ankommen	Wann kommt dieser Zug in Hamburg an?	When does this train arrive in Hamburg?	4346
A1	die Ankunft	Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.	This plan only shows the arrival time of the trains.	3947
A1	ankreuzen	Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.	On the form, you need to check several places.	10000000
A1	anmachen	Mach bitte das Licht an!	Please turn on the light.	9734
A1	(sich) anmelden	Wo kann ich mich anmelden?	Where can I register?	11483
A1	die Anmeldung	Eine Anmeldung für diesen Kurs ist nicht mehr möglich.	Registration for this course is no longer possible.	18318
A1	die Anrede	Schreiben Sie auch eine Anrede und einen Gruß.	Also, write a salutation and a closing.	47139
A1	anrufen(1)	Kann man Sie anrufen?	Can one call you?	841
A1	anrufen(2)	Peter ruft kurz seine Freundin an.	Peter quickly calls his girlfriend.	841
A1	der Anruf, -e	Sie bekommt viele Anrufe auf ihrem Handy.	She receives many calls on her cell phone.	1205
A1	der Anrufbeantworter	Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.	We are not available at the moment. Please leave a message on the answering machine.	8504
A1	die Ansage, -n	Hören Sie die Ansagen.	Listen to the announcements.	11443
A1	der Anschluss(1)	In Mannheim haben Sie Anschluss nach Saarbrücken.	In Mannheim, you have a connection to Saarbrücken.	9133
A1	der Anschluss(2)	Ist das die Anmeldung für einen Telefonanschluss?	Is this the registration for a telephone connection?	9133
A1	an sein	Heute Nacht war das Licht an.	The light was on last night.	10000000
A1	antworten	Er antwortet nicht.	He does not answer.	1280
A1	die Antwort, -en	Er gibt leider keine Antwort.	Unfortunately, he gives no answer.	942
A1	die Anzeige, -n	Ich habe Ihre Anzeige in der Zeitung gelesen.	I read your advertisement in the newspaper.	3496
A1	(sich) anziehen	Ich muss mich noch anziehen.	I still need to get dressed.	2381
A1	das Apartment, -s	Wir haben ein Apartment gemietet.	We rented an apartment.	4147
A1	der Apfel, -Ä	Ein Pfund Äpfel bitte.	A pound of apples, please.	5228
A1	der Appetit	Guten Appetit!	Enjoy your meal!	3391
A1	arbeiten	Wo arbeiten Sie?	Where do you work?	419
A1	die Arbeit, -en	Mein Bruder sucht Arbeit.	My brother is looking for work.	296
A1	arbeitslos	Es gibt bei uns viele Leute, die schon lange arbeitslos sind.	There are many people here who have been unemployed for a long time.	7523
A1	der Arbeitsplatz, -ä, e	An meinem Arbeitsplatz fehlt ein Drucker.	A printer is missing at my workplace.	8782
A1	der Arm, -e	Mein Arm tut weh.	My arm hurts.	1034
A1	der Arzt, -Ä, e	Morgen habe ich einen Termin bei meiner Ärztin.	I have an appointment with my doctor tomorrow.	729
A1	auch	Ich bin auch Spanier.	I am also Spanish.	53
A1	auf(1)	Die Kinder spielen auf der Straße.	The children are playing on the street.	23
A1	auf(2)	Auf Wiedersehen.	Goodbye.	23
A1	auf sein	Du brauchst den Schlüssel nicht. Die Wohnung ist auf.	You don't need the key. The apartment is unlocked.	10000000
A1	aufstehen(1)	Ich muss immer um vier Uhr aufstehen.	I always have to get up at four o'clock.	2023
A1	aufstehen(2)	Soll ich aufstehen?	Should I get up?	2023
A1	der Aufzug, -ü, e	In diesem Haus gibt es keinen Aufzug.	There is no elevator in this building.	4372
A1	das Auge, -n	Er hat blaue Augen.	He has blue eyes.	968
A1	aus	Er kommt aus Brasilien.	He comes from Brazil.	61
A1	der Ausflug	Morgen machen wir einen Ausflug nach Heidelberg.	Tomorrow we are going on a trip to Heidelberg.	4366
A1	ausfüllen	Füllen Sie bitte dieses Formular aus.	Please fill out this form.	10066
A1	der Ausgang	Wo ist der Ausgang?	Where is the exit?	4041
A1	die Auskunft, -ü, e	Können Sie mir eine Auskunft geben?	Can you give me information?	10537
A1	das Ausland	Fahren Sie ins Ausland?	Are you going abroad?	4989
A1	der Ausländer, -	Sind Sie Ausländerin?	Are you a foreigner?	7531
A1	ausländisch	Leider habe ich nur ausländisches Geld.	Unfortunately, I only have foreign money.	10000000
A1	ausmachen	Mach bitte das Licht aus!	Please turn off the light.	4274
A1	die Aussage, -n	Ist die Aussage richtig oder falsch?	Is the statement correct or incorrect?	2148
A1	aussehen	Das sieht schön aus.	That looks nice.	1173
A1	aus sein(1)	Das Licht ist aus.	The light is off.	10000000
A1	aus sein(2)	Die Schule ist aus.	The school is over.	10000000
A1	aussteigen	Wo muss ich aussteigen?	Where do I need to get off?	3406
A1	der Ausweis	Hier ist mein Ausweis.	Here is my ID.	3249
A1	(sich) ausziehen	Zieh die Schuhe aus, bitte!	Take off your shoes, please!	3109
A1	das Auto, -s	Er kommt mit dem Auto.	He comes by car.	402
A1	die Autobahn, -en	Wo geht‘s hier bitte zur Autobahn?	Where is the motorway, please?	8243
